Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Nocturne,2024-07-05 16:58,4e2KKhueXXcIjU3qAROR2B,,0.436,0.15,7.0,-17.835,1.0,0.0493,0.991,0.944,0.0812,0.278,150.127,279232.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,View Of Silence,2024-07-05 16:53,37T3hJhojoDRdBu7qvpg0M,,0.33,0.363,5.0,-11.899,0.0,0.0357,0.659,1.69e-05,0.186,0.441,85.855,223800.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Les Aventuriers,2024-07-05 16:39,5TzMynNpp6zK9ROdPTatCl,,0.461,0.483,5.0,-8.192,0.0,0.0401,0.567,0.0,0.278,0.286,94.007,287733.0,4.0
久石 譲 アンサンブル,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Summer,2024-07-05 16:34,02M7L7vwVmzrRNq6gx9oxE,,0.685,0.872,5.0,-4.945,1.0,0.465,0.489,0.0,0.841,0.724,110.044,226909.0,4.0
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Friends - Live,2024-07-05 16:31,2mTnbwTikQfI9oTeM6W56D,,0.357,0.0693,0.0,-21.25,1.0,0.04,0.993,0.841,0.103,0.13,166.477,237267.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Rain Garden,2024-07-05 16:25,697jY7OLi15Iv3YUMrrULD,,0.763,0.768,10.0,-5.978,1.0,0.0419,0.477,2.5e-05,0.168,0.926,96.695,208600.0,4.0
久石 譲 アンサンブル,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Two of Us,2024-07-05 16:21,6gfCiOpvo2WRk0REC3aTYd,,0.389,0.366,1.0,-9.473,1.0,0.0294,0.338,0.0,0.0654,0.438,84.17,216387.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Departures -Memory-,2024-07-05 16:16,7uNu0IWPFHHmi8KI3akdEg,,0.141,0.191,0.0,-15.328,1.0,0.0328,0.664,0.0207,0.183,0.0684,169.017,173627.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,White Night,2024-07-05 15:54,4e2KKhueXXcIjU3qAROR2B,,0.436,0.15,7.0,-17.835,1.0,0.0493,0.991,0.944,0.0812,0.278,150.127,279232.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,For You,2024-07-05 15:50,6gfCiOpvo2WRk0REC3aTYd,,0.389,0.366,1.0,-9.473,1.0,0.0294,0.338,0.0,0.0654,0.438,84.17,216387.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Lost Sheep on the bed,2024-07-05 15:46,4e2KKhueXXcIjU3qAROR2B,,0.436,0.15,7.0,-17.835,1.0,0.0493,0.991,0.944,0.0812,0.278,150.127,279232.0,4.0
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,il porco rosso,2024-07-05 15:41,3CO5ts5kDH6KLX4OJPB40P,,0.413,0.232,10.0,-16.28,1.0,0.0274,0.858,0.865,0.064,0.118,79.953,292827.0,4.0
Joe Hisaishi,Songs of Hope: The Essential Joe Hisaishi Vol. 2,la pioggia,2024-07-05 15:36,2EvkfIfHqmLlKkKc3tcfPw,,0.203,0.0897,5.0,-21.225,1.0,0.0345,0.971,0.891,0.0991,0.0389,64.233,314093.0,4.0
久石譲,Songs of Hope: The Essential Joe Hisaishi Vol. 2,Angel Doll,2024-07-05 15:34,37T3hJhojoDRdBu7qvpg0M,,0.33,0.363,5.0,-11.899,0.0,0.0357,0.659,1.69e-05,0.186,0.441,85.855,223800.0,4.0
Satoshi Takebe,From Up On Poppy Hill Soundtrack,Signal Flags,2024-07-05 15:22,2lBN9vweWCONnpPf9aEAi7,,0.415,0.131,0.0,-17.695,1.0,0.101,0.327,0.0,0.159,0.21,66.877,109960.0,3.0
久石譲,Encore,アシタカとサン,2024-07-05 3:32,37T3hJhojoDRdBu7qvpg0M,,0.33,0.363,5.0,-11.899,0.0,0.0357,0.659,1.69e-05,0.186,0.441,85.855,223800.0,4.0
Umitaro Abe,Cahier de musique / 音楽手帖,Reperages Pour Piano,2024-07-05 3:20,5d8JxoBBgMmBuYD9yrUZdJ,,0.368,0.0478,7.0,-24.734,1.0,0.0442,0.981,0.868,0.112,0.179,142.301,105213.0,4.0
Ryuichi Sakamoto,koko,Dancing In The Sky,2024-07-05 3:19,12TkChYdKe9Vj8s5Tkq1SI,,0.656,0.129,0.0,-18.402,1.0,0.107,0.99,0.907,0.106,0.0502,108.85,69400.0,4.0
Sumi Shimamoto,sings ジブリ リニューアル ピアノ バージョン,あの夏へ,2024-07-05 3:17,5AadvZ7rCvY2RHtPuRtZv0,,0.448,0.175,0.0,-15.669,1.0,0.0532,0.993,0.948,0.161,0.0667,131.668,109427.0,4.0
Justin Hurwitz,La La Land (Original Motion Picture Score),Mia & Sebastian’s Theme (Celesta),2024-07-05 3:16,0GO6zmB9vtMNUcQH5nZBmc,,0.166,0.0686,5.0,-26.014,1.0,0.042,0.988,0.443,0.203,0.173,100.458,87707.0,3.0
久石譲,Piano Stories Best '88-'08,The Wind Forest,2024-07-05 3:11,4e2KKhueXXcIjU3qAROR2B,,0.436,0.15,7.0,-17.835,1.0,0.0493,0.991,0.944,0.0812,0.278,150.127,279232.0,4.0
Hikaru Shirosu,Op. 1: Multiverse,Prelude No. 2 Saxophone Quartet,2024-07-05 3:07,7jzddgRM1rI7shJJLvirBd,,0.621,0.0626,10.0,-29.762,0.0,0.0664,0.993,0.919,0.143,0.209,65.692,209091.0,4.0
Claude Debussy,Debussy: Clair de Lune and Other Piano Favourites,La Fille aux Cheveux de Lin L. 33,2024-07-05 3:05,0fpqOyC5DLDe5gAYKBB6X7,,0.362,0.00218,6.0,-36.579,1.0,0.0543,0.995,0.945,0.064,0.182,109.601,147493.0,3.0
Takatsugu Muramatsu,WHEN MARNIE WAS THERE Soundtrack Music Collection,While Cutting Tomatoes,2024-07-05 3:04,39mLvARa00g7fQiU65xhMB,,0.419,0.00398,2.0,-29.37,1.0,0.0672,0.994,0.909,0.102,0.267,118.255,73907.0,4.0
Toshifumi Hinata,ひとつぶの海,Menuet,2024-07-05 3:02,0NxCQL5OFodinhM1GO5dxi,,0.187,0.261,2.0,-14.007,0.0,0.0442,0.959,0.815,0.111,0.0936,100.311,106333.0,4.0
Hasso Gakudan,Pom Poko Soundtrack,Life of a Tanuki,2024-07-05 2:56,6U4BQjSv0ijFfOlkUpRP8h,,0.589,0.0201,0.0,-24.674,1.0,0.0413,0.992,0.761,0.105,0.428,72.379,103933.0,4.0
Edvard Grieg,Miniatures and Collectibles,Arietta,2024-07-05 2:54,2YIaZvqivJGIFvyeDR2YUr,,0.427,0.0204,3.0,-31.351,1.0,0.0405,0.996,0.938,0.274,0.346,111.242,83227.0,1.0
Hikaru Shirosu,Stories of a Figure Skater - Day Off,Stories of a Figure Skater - Day Off,2024-07-05 2:51,6oLdsKc3HYsBgmMKhwoOlK,,0.35,0.397,0.0,-9.607,1.0,0.0289,0.726,0.545,0.113,0.157,131.931,319360.0,4.0
Camille Saint-Saëns,Saint-Saëns: Le Carnaval des Animaux; Phaéton; Danse Macabre etc.,Le carnaval des animaux R. 125: 13. Le cygne,2024-07-05 2:48,5Aa3InQJHLUtSvTDtXXMsW,,0.167,0.02,7.0,-31.634,1.0,0.0413,0.992,0.928,0.0714,0.0431,129.916,165307.0,4.0
Joe Hisaishi,Spirited Away Soundtrack,Day of the River,2024-07-05 2:45,26W3vc21aHLaHF90gbsiq1,,0.329,0.093,0.0,-22.214,1.0,0.0299,0.97,0.937,0.0939,0.0545,79.441,193000.0,4.0
Katsu Hoshi,Only Yesterday Original Soundtrack,Main Theme,2024-07-05 2:43,4Ybnlh6ZJPqK6Os6QbQL5H,,0.295,0.0622,0.0,-24.878,1.0,0.0393,0.936,0.89,0.0771,0.046,81.17,109000.0,4.0
Taku Matsushiba,ユートラ/ユーリ!!! on ICE サウンド・トラックCOLLECTION,Afternoon Waltz,2024-07-05 2:42,1H4o83GjFDM6tJ3Gu7EvKM,,0.63,0.509,2.0,-12.339,1.0,0.0549,0.146,0.692,0.165,0.84,118.014,129153.0,4.0
Alexander Borodin,ムソルグスキー：「展覧会の絵」ラヴェル編、禿山の一夜、ボロディン：ダッタン人の踊り、「中央アジアの草原にて,ダッタン人の踊り (歌劇 イーゴリ公より) 2 娘たちの流麗な踊り,2024-07-05 2:41,3nz5gOAnmsgP55CFsj9cdN,,0.0779,0.163,9.0,-24.799,1.0,0.0371,0.973,0.864,0.132,0.272,176.235,93640.0,4.0
Hikaru Shirosu,Tea Picking (Piano Solo Version),Tea Picking - Piano Solo Version,2024-07-05 2:38,5FzAePCRLMHqBg4iY9ktOD,,0.59,0.0247,2.0,-27.456,1.0,0.0827,0.995,0.964,0.149,0.357,117.932,133000.0,4.0
Joe Hisaishi,Howl's Moving Castle Soundtrack,Opening Song - Merry-Go-Round of Life,2024-07-05 2:36,39uLYYZytVUwcjgeYLI409,,0.239,0.287,7.0,-12.565,0.0,0.0388,0.876,0.644,0.122,0.185,71.608,311107.0,3.0
Piero Piccioni,Amore Mio Aiutami (Original Motion Picture Soundtrack),Violino,2024-07-05 2:33,77TMuFit7SUhof0gl8LSpE,,0.192,0.244,10.0,-16.796,1.0,0.0384,0.957,0.875,0.135,0.0741,95.516,171187.0,1.0
Toshifumi Hinata,オーガニック・スタイル 日向敏文 the BEST ～In the Twilight～,Good Evening Heartache - 2007 ver.,2024-07-05 2:31,2oN1uU4jnxUYTR9WsFgEWY,,0.108,0.0784,5.0,-21.804,1.0,0.0369,0.963,0.764,0.177,0.0325,83.595,101547.0,1.0
