Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Chris Stapleton,Traveller,Daddy Doesn't Pray Anymore,2024-02-25 5:31,21aD24K6JOf0F0qx6HJ0dy,,0.499,0.0513,4.0,-17.501,1.0,0.034,0.808,1.48e-06,0.0754,0.318,131.93,249707.0,4.0
Chris Stapleton,Traveller,When the Stars Come Out,2024-02-25 5:27,5Vt2oXZbkQgFWH1Tih1okV,,0.471,0.536,0.0,-9.678,1.0,0.0251,0.256,0.00113,0.0994,0.41,147.506,256680.0,4.0
Chris Stapleton,Traveller,More of You,2024-02-25 5:23,3fqwjXwUGN6vbzIwvyFMhx,,0.392,0.37,9.0,-10.888,1.0,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293.0,4.0
Chris Stapleton,Traveller,Nobody to Blame,2024-02-25 5:18,3fqwjXwUGN6vbzIwvyFMhx,,0.392,0.37,9.0,-10.888,1.0,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293.0,4.0
Chris Stapleton,Traveller,Whiskey and You,2024-02-25 5:14,3fqwjXwUGN6vbzIwvyFMhx,,0.392,0.37,9.0,-10.888,1.0,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293.0,4.0
Chris Stapleton,Traveller,Parachute,2024-02-25 5:10,5jROdl6MhcmP3O7h2sVgtw,,0.642,0.762,6.0,-7.411,1.0,0.0296,0.00967,5.72e-05,0.182,0.605,113.038,253200.0,4.0
Chris Stapleton,Traveller,Tennessee Whiskey,2024-02-25 5:05,3fqwjXwUGN6vbzIwvyFMhx,,0.392,0.37,9.0,-10.888,1.0,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293.0,4.0
Midland,On the Rocks,Burn Out,2024-02-25 5:00,7yrJnekdlwWARt5lmVqJ6L,,0.671,0.724,7.0,-5.61,1.0,0.0244,0.292,0.0,0.231,0.801,99.976,188613.0,4.0
Morgan Wallen,Dangerous: The Double Album,7 Summers,2024-02-25 4:56,4obHzpwGrjoTuZh2DItEMZ,,0.466,0.786,0.0,-5.13,1.0,0.0328,0.417,6.1e-05,0.125,0.571,203.903,210507.0,4.0
King Von,Levon James,Took Her To The O,2024-02-22 20:51,7fEoXCZTZFosUFvFQg1BmW,,0.82,0.592,1.0,-7.002,1.0,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180.0,4.0
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),10 Freaky Girls (with 21 Savage),2024-02-22 20:35,0AluA5RNsa4Cx6XRhf2hWZ,,0.797,0.353,6.0,-9.931,0.0,0.369,0.59,0.0,0.102,0.0731,87.997,208293.0,4.0
XXXTENTACION,XXXTENTACION Presents: Members Only Vol. 4,SAUCE!,2024-02-22 20:25,5TXDeTFVRVY7Cvt0Dw4vWW,,0.746,0.251,11.0,-16.169,0.0,0.259,0.782,0.00203,0.106,0.18,139.999,120027.0,4.0
Baby Keem,DIE FOR MY BITCH,ORANGE SODA,2024-02-22 20:19,5FkoSXiJPKTNyYgALRJFhD,,0.83,0.564,1.0,-7.822,1.0,0.235,0.177,0.0,0.128,0.107,85.042,129882.0,4.0
Yeat,2 Alivë,Poppin,2024-02-22 20:09,0YThXX1dqUpYBLyJNAsF9N,,0.457,0.499,1.0,-6.67,1.0,0.0334,0.247,6.34e-05,0.171,0.0348,127.95,172500.0,4.0
Baby Keem,The Melodic Blue,hooligan,2024-02-22 19:58,3diZz7nVRbyuvAXSW7hzI7,,0.602,0.701,5.0,-5.604,0.0,0.09,0.263,1.02e-06,0.112,0.375,124.033,156774.0,4.0
Lil Tecca,We Love You Tecca,DUI,2024-02-22 19:45,4Bhdiu8zhwQR3tXy8YMbCj,,0.774,0.409,8.0,-8.688,0.0,0.336,0.567,1.12e-06,0.12,0.424,86.52,134520.0,4.0
XXXTENTACION,SKINS,I Don't Let Go,2024-02-22 19:31,4axYWgXASdsCBHuwInAubT,,0.797,0.293,5.0,-7.479,1.0,0.08,0.591,0.0724,0.148,0.478,80.035,121630.0,4.0
Playboi Carti,Trap Ye Season 2,Ain't Doin That,2024-02-20 5:27,7si3FzQV7xcFvmdDQ57ZVt,,0.765,0.54,1.0,-6.726,1.0,0.089,0.112,0.0,0.122,0.223,106.021,172500.0,4.0
Shiro Sagisu,TV Animation Bleach Original Soundtrack 1,going home,2024-02-19 22:26,2ND8SkQ3Rav1x4zpmTwA3E,,0.53,0.16,7.0,-16.369,0.0,0.0664,0.955,0.873,0.0934,0.121,112.791,153827.0,5.0
Luke Faulkner,Clouds,Clouds,2024-02-19 22:23,3o0JiKMZFGghuFxu92QITO,,0.414,0.0771,3.0,-25.159,1.0,0.0438,0.986,0.909,0.112,0.254,66.049,179187.0,4.0
Joe Hisaishi,The Wind Rises Soundtrack,A Journey (A Dream of Flight),2024-02-19 21:57,1zZQCz81Mr1XiiQ7SkRanG,,0.349,0.306,7.0,-11.041,1.0,0.0341,0.783,0.00932,0.0843,0.18,80.011,175187.0,4.0
Austin Wintory,Journey (Original Video Game Soundtrack),Nascence,2024-02-19 21:41,1Lw8az0pvHNLIhOT2DWQ9W,,0.184,0.109,11.0,-18.185,0.0,0.0413,0.935,0.945,0.129,0.0374,105.838,106960.0,3.0
Dmitri Shostakovich,Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot,Jazz Suite No. 2: VI. Waltz 2,2024-02-19 21:32,0pjCsB0XNSyqM9UazlTODC,,0.322,0.184,0.0,-18.312,0.0,0.0338,0.984,0.902,0.0813,0.356,107.847,193600.0,4.0
Kupla,Allure,Allure,2024-02-19 19:26,7yxoeNtk4f2OGwJs7BF7Eh,,0.368,0.998,11.0,-5.397,0.0,0.0473,0.000108,0.932,0.181,0.461,160.014,60402.0,4.0
Flitz&Suppe,Yokai,Sea of Trees,2024-02-19 19:17,6JcVoMVqPFehOcUwe4uSRV,,0.421,0.781,9.0,-8.696,0.0,0.0561,0.16,0.000788,0.11,0.0632,144.916,246893.0,4.0
Kupla,Memories,Memories Fade,2024-02-19 19:10,4fQs6kLS2JpMSszHYA6iN5,,0.197,0.00244,3.0,-28.98,1.0,0.0422,0.982,0.978,0.116,0.181,87.795,60155.0,4.0
Kupla,Taiga Native,New Beginnings,2024-02-19 18:42,6fISvPz42cmqCWJyPlHzqI,,0.751,0.937,1.0,-9.475,1.0,0.0473,0.000266,0.848,0.117,0.0679,125.011,211450.0,4.0
Kupla,Kingdom in Blue,In Your Eyes,2024-02-19 18:36,5aMQOS7eAIN9uN4N1DWyx8,,0.643,0.445,2.0,-10.514,0.0,0.0377,0.751,0.873,0.13,0.209,81.971,178570.0,4.0
Kupla,Life Forms,Safe Haven,2024-02-19 18:17,38NHyl8BhD7Cf2jsPnsz5w,,0.884,0.429,7.0,-11.672,1.0,0.124,0.497,0.866,0.259,0.62,106.884,107600.0,3.0
Kupla,Life Forms,Last Walk,2024-02-19 18:14,5tQuXsEzjyDYhZG2HosGEW,,0.25,0.815,7.0,-10.177,0.0,0.0693,0.00171,0.0892,0.119,0.104,177.722,261519.0,4.0
Kanye West,VULTURES 1,KING,2024-02-19 4:12,3w0w2T288dec0mgeZZqoNN,,0.594,0.811,1.0,-5.746,1.0,0.159,0.189,0.0,0.339,0.311,148.144,264324.0,4.0
Kanye West,VULTURES 1,PROBLEMATIC,2024-02-19 4:09,04CyMEHliadfQWMUJb1w99,,0.6,0.885,11.0,-6.21,0.0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,111458.0,4.0
Kanye West,VULTURES 1,BEG FORGIVENESS,2024-02-19 4:03,4ihV1wv7QmjbkLHaT9lA4s,,0.508,0.273,1.0,-10.625,0.0,0.0567,0.19,0.00238,0.176,0.0482,108.784,368740.0,4.0
Kanye West,VULTURES 1,CARNIVAL,2024-02-19 3:58,3w0w2T288dec0mgeZZqoNN,,0.594,0.811,1.0,-5.746,1.0,0.159,0.189,0.0,0.339,0.311,148.144,264324.0,4.0
Kanye West,VULTURES 1,VULTURES,2024-02-19 3:53,3w0w2T288dec0mgeZZqoNN,,0.594,0.811,1.0,-5.746,1.0,0.159,0.189,0.0,0.339,0.311,148.144,264324.0,4.0
Goth Babe,Sometimes,Sometimes,2024-02-18 2:08,7oJmIBxEAYjfkS7lhZ7M1S,,0.445,0.563,7.0,-8.904,1.0,0.0315,0.105,0.000271,0.179,0.204,94.978,262737.0,4.0
Wallows,Pleaser,Pleaser,2024-02-18 1:54,11zf7m4vw9Ze7cer9Nyhk1,,0.497,0.914,9.0,-4.308,1.0,0.0455,0.126,1.98e-05,0.274,0.385,148.893,187896.0,4.0
Tame Impala,Currents,Disciples,2024-02-18 1:48,5hGjhoNu3QaY30ViWGlXSD,,0.487,0.922,4.0,-2.949,1.0,0.0488,0.011,0.0,0.712,0.64,99.148,184680.0,4.0
Still Woozy,If This Isn’t Nice I Don’t Know What Is,Window,2024-02-18 1:45,3hARuUtzTdUuWH1KiLJlSf,,0.714,0.483,4.0,-9.378,0.0,0.195,0.436,2.3e-05,0.28,0.67,91.025,139293.0,4.0
Goth Babe,Weekend Friend,Weekend Friend,2024-02-18 1:42,2d3QlXE6FXFDeodiS66yjM,,0.409,0.594,1.0,-9.725,1.0,0.031,0.032,0.0391,0.0904,0.212,110.187,209455.0,4.0
Two Door Cinema Club,Tourist History,What You Know,2024-02-18 1:32,3GBApU0NuzH4hKZq4NOSdA,,0.563,0.739,6.0,-4.239,0.0,0.0416,0.00073,1.45e-05,0.0822,0.775,139.0,191707.0,4.0
