Artist,Album,Song,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mahgraum,memories,memories,3axhuNQEriEn3tKeGOB6hH,0.474,0.889,10,-4.918,1,0.235,0.0391,6.65E-06,0.307,0.643,151.1,199613,4
Jamie Henwood,Ambient Scenes for Uninhabited Spaces,Apricity,6Bu0HyaOUO8dK4vjKXIye8,0.41,0.0454,0,-29.23,1,0.0347,0.815,0.907,0.111,0.0758,97.556,120000,3
santpoort,cloudstreet,mum's spinning wheel,3vEuEiy64qxd7dAPfbIGrg,0.401,0.882,0,-5.669,1,0.0467,0.00295,0.0448,0.108,0.641,148.658,195533,4
Jamie Henwood,Ambient Scenes for Uninhabited Spaces,The Manatee,5mR31YQKnnrvi0NSSQuads,0.484,0.0639,5,-27.59,0,0.029,0.866,0.9,0.0988,0.159,89.948,42320,4
Nobuddy,open spaces,open spaces,4QkvD53COA5qLA7rQ1Pa7D,0.568,0.75,2,-8.913,1,0.0466,0.0731,0,0.121,0.407,75.82,140440,4
Nobuddy,nobuddy's buddies vol. 1,fell asleep reading my book,4QkvD53COA5qLA7rQ1Pa7D,0.568,0.75,2,-8.913,1,0.0466,0.0731,0,0.121,0.407,75.82,140440,4
Kaphia,Underwater,Nereids,5KnUdI5AuMJLh3sSmS4b2M,0.432,0.383,0,-14.486,1,0.0341,0.13,0.693,0.116,0.845,137.819,127293,4
FUNCC.,Bliss,Bliss,5lc9L9FeLBwlJPgEbq9uEw,0.681,0.897,8,-5.44,1,0.0874,0.672,0,0.1,0.852,140.803,169856,4
Michael Scott Dawson,Music for Listening,Praise and Other,6n45I1zFj4PMDrWd5WWCln,0.527,0.293,9,-11.566,1,0.0367,0.515,0,0.102,0.147,136.959,217373,4
KhloeAutumn,afternoons,afternoons,3AHkEW8pGlCObonIhqZpzP,0.395,0.69,1,-8.441,1,0.14,0.00398,0,0.0934,0.33,79.216,108121,4
HM SURF,Honda,Honda,6oexo3GMIN4TsPfxBSom0I,0.769,0.276,7,-16.912,1,0.0511,0.855,0.903,0.125,0.54,128.039,169895,4
96 Zeus,soft memories,soft memories,3k8ptnrHJn8LzQnvh413c5,0.287,0.704,2,-6.555,0,0.04,0.000738,0.12,0.38,0.409,171.968,202207,4
Colours In The Dark,one year has passed (look at all we've been through),one year has passed (look at all we've been through),72SPsHheqN6J3sI520jT9E,0.681,0.168,7,-13.397,1,0.0291,0.793,0.000134,0.109,0.29,128.615,160453,4
Beyond Pluto,simply you,simply you,36l1RUKF8yDkE1Ncb9w7RJ,0.644,0.0499,7,-21.556,1,0.0376,0.989,0.944,0.0831,0.072,76.02,126316,1
Jamie Henwood,Ambient Scenes for Uninhabited Spaces,Sunset Over the Pacific Ocean,5mR31YQKnnrvi0NSSQuads,0.484,0.0639,5,-27.59,0,0.029,0.866,0.9,0.0988,0.159,89.948,42320,4
STEEZY PRIME,Starcrossed,Let's go home,2LXISHBkx8FyoxCBkckh19,0.655,0.431,2,-15.18,0,0.032,0.343,9.50E-06,0.0711,0.941,124.588,357042,4
Jamie Henwood,Ambient Scenes for Uninhabited Spaces,Petrichor,5dkYxxacP6awZERsEwVuIz,0.493,0.0514,5,-28.006,1,0.0328,0.976,0.913,0.13,0.0838,139.986,116571,4
Charmer & Klay,Reflections,Soft Ride,2mtc4jXbgV3nm8UPN2O7sk,0.447,0.305,2,-14.745,1,0.0428,0.755,0.945,0.1,0.512,136.801,169547,4
Charmer & Klay,3 Day Weekend,3 Day Weekend,4QMA0ghVC0v4qyY4ftaPuI,0.62,0.623,8,-9.675,0,0.0403,0.0149,0.00201,0.197,0.255,89.051,284133,4
HM SURF,Twisp,Twisp,1WjZz4XAXDgri4EGRyGIJx,0.528,0.951,7,-4.328,1,0.125,0.00547,0.35,0.736,0.525,102.65,233066,4
1 Trillion Monthly Listeners,Lychee,Lychee,5TjpTCURPfKV8xGzjQgbbU,0.543,0.121,0,-15.905,1,0.0413,0.597,0.11,0.0808,0.13,80.368,66062,4
Osaki,I Wish This Moment Would Last Forever,I Wish This Moment Would Last Forever,2lj0kkQD3idBDXk05dKObE,0.271,0.193,0,-20.762,0,0.0334,0.805,0.885,0.106,0.0378,109.777,126385,1
2003 Toyota Corolla,2003 Toyota Corolla,2005 Toyota Corolla,2vhPKZS80ap76Mk6DtVyXZ,0.683,0.27,7,-20.96,1,0.152,0.78,0.865,0.102,0.772,81.015,196981,4
instant era,Good Morning,Good Morning,7ew10sb3Jgwe14s8x3ydkL,0.624,0.667,5,-10.073,0,0.0426,0.016,0.107,0.131,0.896,138.523,212743,4
ornithology,Roosting,Roosting,6A1mh31895sUIYEpOfeqC3,0.475,0.689,9,-9.351,0,0.054,0.532,0.00427,0.969,0.823,117.407,282200,4
Claptu,Plateau,Plateau,3ykSdTGmYPFl8pDBXer1zG,0.699,0.502,9,-12.526,1,0.0278,0.0607,0.0337,0.317,0.676,105.266,221640,4
kurt stewart,february,kindling,4tUQf9yoGGiREL02pdhIbD,0.671,0.681,11,-5.163,0,0.0857,0.182,0,0.263,0.765,77.516,265867,4
shrimpnose,Synesthesia,Synesthesia,3aIf0ReRccgspVGrBMyvvp,0.22,0.86,0,-5.091,0,0.23,8.54E-05,0.00364,0.113,0.185,160.051,228851,4
Fool Parsley,you seemed so happy,you seemed so happy,4rRo7abwbNWxZV02l2Y7q1,0.661,0.186,3,-19.307,1,0.036,0.762,0.744,0.111,0.0663,131.911,152868,4
Laffey,Peace of Mind,Peace of Mind,1GqlvSEtMx5xbGptxOTTyk,0.419,0.677,4,-6.183,1,0.0343,0.00101,9.99E-05,0.211,0.684,127.678,303587,4
Sam Miller,Golden-rayed,Golden-Rayed,34tzSG70boQTq1UYX9ouew,0.641,0.322,3,-10.81,1,0.0293,0.755,0,0.467,0.721,98.625,133342,4
Jamie Henwood,Ambient Scenes for Uninhabited Spaces,Goodnight Sweet Tardigrade,2vufC1VYNq4Vn2nTqVRAqs,0.178,0.0436,8,-27.931,0,0.0356,0.942,0.874,0.0839,0.0351,70.134,151438,4
kurt stewart,february,nightskate,3bdJ7m69yPcbKw9jYyfY0r,0.668,0.754,6,-11.047,0,0.0478,0.0413,1.72E-06,0.204,0.684,122.342,204733,4
Jamie Henwood,Ambient Scenes for Uninhabited Spaces,Short of Breath,5gjaSKHTnrkyPjqOA7bxaP,0.123,0.102,11,-25.463,1,0.0327,0.843,0.938,0.103,0.0398,175.538,194213,4
ChillsmokeႿ,The Misty Pond,The Misty Pond,3cWAmdbLxsk6PjxXGGbwsu,0.405,0.0606,2,-21.464,0,0.0343,0.983,0.916,0.101,0.0768,120.143,144000,4
Kxng Lxcx,Leilani,Inveigle (hey-hey),3RqB7pNvpPxNvvwE8NzkNo,0.552,0.124,7,-12.328,0,0.232,0.919,0.583,0.138,0.228,88.278,96235,4
Charmer & Klay,Quiet Night,Evening in Missoula,0DFcgW9PnQLwSlKIdkx6rp,0.553,0.152,0,-15.586,1,0.0613,0.903,0.855,0.323,0.0689,76.077,107613,4
Dokkemand,Rauland,Rauland,6BqnXdBJeat5FovmFb48cH,0.64,0.101,2,-21.564,1,0.0726,0.829,0.889,0.0951,0.24,132.036,120173,4
Nobuddy,nobuddy's buddies vol. 1,game over,4QkvD53COA5qLA7rQ1Pa7D,0.568,0.75,2,-8.913,1,0.0466,0.0731,0,0.121,0.407,75.82,140440,4
